id,date,machine,sensor,vibration
466215810,2024-01-21 00:00:23.000000 +00:00,2341,2363,2.4791603617918807
466215815,2024-01-21 00:00:23.000000 +00:00,2341,2363,2.4791603617918807
466215824,2024-01-21 00:00:23.000000 +00:00,2341,2363,2.4791603617918807
466215841,2024-01-21 00:00:23.000000 +00:00,2341,2363,2.4791603617918807
466215893,2024-01-21 00:00:23.000000 +00:00,2341,2363,2.4791603617918807
466216033,2024-01-21 00:00:23.000000 +00:00,2341,2363,2.4791603617918807
466219735,2024-01-21 00:15:45.000000 +00:00,2341,2363,2.39105588599534
466224228,2024-01-21 00:31:07.000000 +00:00,2341,2363,2.4181311989541374
466228384,2024-01-21 00:46:30.000000 +00:00,2341,2363,2.4548335399854087
466233109,2024-01-21 01:03:28.000000 +00:00,2341,2363,2.562555038820378
466236537,2024-01-21 01:18:50.000000 +00:00,2341,2363,2.37487323436063
466240508,2024-01-21 01:34:12.000000 +00:00,2341,2363,2.4179923272067323
466252722,2024-01-21 02:20:37.000000 +00:00,2341,2363,3.0469206902667043
466256877,2024-01-21 02:35:59.000000 +00:00,2341,2363,2.480394127631984
466260973,2024-01-21 02:51:21.000000 +00:00,2341,2363,2.405365377028737
466264876,2024-01-21 03:06:43.000000 +00:00,2341,2363,2.38540278261045
466268503,2024-01-21 03:22:06.000000 +00:00,2341,2363,2.3908016776071954
466272404,2024-01-21 03:37:28.000000 +00:00,2341,2363,2.3338537361545044
466277569,2024-01-21 03:52:50.000000 +00:00,2341,2363,2.3676679169137
466292306,2024-01-21 04:52:50.000000 +00:00,2341,2363,0.29326354548358347
466308358,2024-01-21 05:52:50.000000 +00:00,2341,2363,0.29159275390891637
466311896,2024-01-21 06:06:40.000000 +00:00,2341,2363,3.0763527298693574
466319269,2024-01-21 06:34:39.000000 +00:00,2341,2363,2.8103715258837947
466326686,2024-01-21 07:01:11.000000 +00:00,2341,2363,2.745225765910607
466330549,2024-01-21 07:16:34.000000 +00:00,2341,2363,2.3724767465427803
466334705,2024-01-21 07:31:56.000000 +00:00,2341,2363,2.379314645204215
466339141,2024-01-21 07:47:19.000000 +00:00,2341,2363,2.4253976996823
466343706,2024-01-21 08:02:41.000000 +00:00,2341,2363,2.429000495065329
